mouse,plate,gc,node,cell_type,hc_barcode,lc_barcode,row,col
1,1,0,BM,PB,5,5,A.B,1.2.3.4.5.6.7.8.9.10.11.12
1,1,0,spl,MB,5,5,C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
1,12,19,LB,GC,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
2,19,0,BM,PB,7,7,A.B.C.D.E,1.2.3.4.5.6.7.8.9.10.11.12
3,38,0,spl,MB,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
3,57,66,LA,GC,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
3,54,0,BM,PB,10,10,A.B,1.2.3.4.5.6.7.8.9.10.11.12
4,54,0,BM,PB,10,10,C.D.E.F,1.2.3.4.5.6.7.8.9.10.11.12
5,75,0,BM,PB,11,11,A.B,1.2.3.4.5.6.7.8.9.10.11.12
5,75,0,spl,MB,11,11,C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
6,76,0,BM,PB,12,12,A.B,1.2.3.4.5.6.7.8.9.10.11.12
6,76,0,spl,MB,13,13,C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
8,77,84,RP,GC,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
8,80,87,LI,GC,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
8,81,88,RB,GC,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
